journal,year,volume,issue,type,title,doi
Journal of Experimental Political Science,2017,4,2,Research Article,Costly Values: The Limited Benefits and Potential Costs of Targeted Policy Justifications,10.1017/XPS.2017.3
Journal of Experimental Political Science,2017,4,2,Research Article,How Much GOTV Mail is Too Much? Results from a Large-Scale Field Experiment,10.1017/XPS.2017.5
Journal of Experimental Political Science,2017,4,2,Research Article,"We Spend How Much? Misperceptions, Innumeracy, and Support for the Foreign Aid in the United States and Great Britain",10.1017/XPS.2017.6
Journal of Experimental Political Science,2017,4,2,Research Article,Politicians Appear More Competent When Using Numerical Rhetoric,10.1017/XPS.2017.7
Journal of Experimental Political Science,2017,4,2,Research Article,Status Quo Bias in Ballot Wording,10.1017/XPS.2017.9
Journal of Experimental Political Science,2017,4,2,Research Article,Developing Standards for Post-Hoc Weighting in Population-Based Survey Experiments,10.1017/XPS.2017.2
Journal of Experimental Political Science,2017,4,2,"Front Cover (OFC, IFC) and matter",XPS volume 4 issue 2 Cover and Front matter,10.1017/XPS.2017.23
Journal of Experimental Political Science,2017,4,2,"Back Cover (IBC, OBC) and matter",XPS volume 4 issue 2 Cover and Back matter,10.1017/XPS.2017.24
Journal of Experimental Political Science,2017,4,1,Research Article,Nationalism and Social Sanctioning Across Ethnic Lines: Experimental Evidence from the Kenya–Tanzania Border,10.1017/XPS.2017.10
Journal of Experimental Political Science,2017,4,1,Research Article,How Does Treatment Self-Selection Affect Inferences About Political Communication?,10.1017/XPS.2017.1
Journal of Experimental Political Science,2017,4,1,Research Article,Nothing to Lose: Charitable Donations as Incentives in Risk Preference Measurement,10.1017/XPS.2017.4
Journal of Experimental Political Science,2017,4,1,Research Article,Moving Beyond Measurement: Adapting Audit Studies to Test Bias-Reducing Interventions,10.1017/XPS.2017.11
Journal of Experimental Political Science,2017,4,1,Research Article,Anxiety Reduces Empathy Toward Outgroup Members But Not Ingroup Members,10.1017/XPS.2017.12
Journal of Experimental Political Science,2017,4,1,Research Article,Media Priming Effect: A Preregistered Replication Experiment,10.1017/XPS.2017.8
Journal of Experimental Political Science,2017,4,1,"Front Cover (OFC, IFC) and matter",XPS volume 4 issue 1 Cover and Front matter,10.1017/XPS.2017.17
Journal of Experimental Political Science,2017,4,1,"Back Cover (IBC, OBC) and matter",XPS volume 4 issue 1 Cover and Back matter,10.1017/XPS.2017.18
Journal of Experimental Political Science,2016,3,2,Research Article,Classified or Coverup? The Effect of Redactions on Conspiracy Theory Beliefs,10.1017/XPS.2015.21
